Country,Capital,Continent
Nauru,Yaren,Oceania
Nepal,Kathmandu,Asia
Netherlands,Amsterdam,Europe
New Zealand,Wellington,Oceania
Nicaragua,Managua,America
Niger,Niamey,Africa
Nigeria,Abuja,Africa
Norway,Oslo,Europe
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Palau,Melekeok,Oceania
Palestine,East Jerusalem,Asia
Panama,Panama City,America
Papua New Guinea,Port Moresby,Oceania
Paraguay,Asunción,America
Peru,Lima,America
Philippines,Manila,Asia
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Qatar,Doha,Asia
Republic of the Congo,Brazzaville,Africa
Romania,Bucharest,Europe
Russia,Moscow,Europe
Rwanda,Kigali,Africa
Saint Kitts and Nevis,Basseterre,America
Saint Lucia,Castries,America
Saint Vincent and the Grenadines,Kingstown,America
Samoa,Apia,Oceania
San Marino,San Marino,Europe
São Tomé and Príncipe,São Tomé,Africa
Saudi Arabia,Riyadh,Asia
Senegal,Dakar,Africa
Serbia,Belgrade,Europe
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Singapore,Singapore,Asia
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Solomon Islands,Honiara,Oceania
Somalia,Mogadishu,Africa
South Africa,Pretoria,Africa
South Sudan,Juba,Africa
Spain,Madrid,Europe
Sri Lanka,Sri Jayawardenapura Kotte,Asia
Sudan,Khartoum,Africa
Suriname,Paramaribo,America
Swaziland,Mbabane,Africa
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Syria,Damascus,Asia
Taiwan,Taipei,Asia
Tajikistan,Dushanbe,Asia
Tanzania,Dodoma,Africa
Thailand,Bangkok,Asia
Togo,Lomé,Africa
Tonga,Nukualofa,Oceania
Trinidad and Tobago,Port of Spain,America
Tunisia,Tunis,Africa
Turkey,Ankara,Asia
Turkmenistan,Ashgabat,Asia
Tuvalu,Funafuti,Oceania
Uganda,Kampala,Africa
Ukraine,Kiev,Europe
United Arab Emirates,Abu Dhabi,Asia
United Kingdom,London,Europe
United States,Washington D.C.,America
Uruguay,Montevideo,America
Uzbekistan,Tashkent,Asia
Vanuatu,Port Vila,Oceania
Vatican City,Vatican City,Europe
Venezuela,Caracas,America
Vietnam,Hanoi,Asia
Yemen,Sana'a,Asia
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
